;;; @article{yunetal2015,
;;; 	title={The Korean Corpus of Spontaneous Speech},
;;; 	author={Yun, W., Yoon, K., Park, S., Lee, J., Cho, S., Kang, D., Byun, K., Hahn, H., Kim, J.},
;;; 	journal={Journal of the Korean Society of Speech Sciences},
;;; 	volume={7(2)},
;;; 	pages={103–109},
;;; 	year={2015},
;;; 	publisher={}
;;; }
ㄱㅏㄴㅡㅇㅎㅏㄱㅓㄷㅡㄴㅛ	g a n eu NG h a g eo d eu NG y eo
ㄱㅏㄴㅡㅇㅎㅏㄱㅗ	g a n eu NG eo g o
ㄱㅏㄴㅡㅇㅎㅏㄱㅣ	g a n eu NG h a g i
ㄱㅏㄴㅡㅇㅎㅏㄱㅣㄴ	g a n eu NG h a g i N
ㄱㅏㄴㅡㅇㅎㅏㄱㅣㄴㅡㄴ	g a n eu NG a g i n eu N
ㄱㅏㄴㅡㅇㅎㅏㄴ	g a n eu NG a
ㄱㅏㄴㅡㅇㅎㅏㄴ	g a n eu NG a N
ㄱㅏㄴㅡㅇㅎㅏㄴ	g a n eu NG a NG
ㄱㅏㄴㅡㅇㅎㅏㄴ	g a n eu NG h a NG
ㄱㅏㄴㅡㅇㅎㅏㄴㄷㅔ	g a n eu NG a N d e
ㄱㅏㄴㅡㅇㅎㅏㄷㅏㅁㅕㄴ	g a n eu NG a N d a m y eo N
ㄱㅏㄴㅡㅇㅎㅏㄹ	g a n eu NG a L
ㄱㅏㄴㅡㅇㅎㅏㄹ	g a n eu NG h a L
ㄱㅏㄴㅡㅇㅎㅏㄹㅈㅣㄴ	g a n eu NG a L jj i N
ㄱㅏㄴㅡㅇㅎㅏㅁㅕㄴ	g a n eu NG h a m y eo
ㄱㅏㄴㅡㅇㅎㅏㅁㅕㄴ	g a n eu NG h a m y eo N
ㄱㅏㄴㅡㅇㅎㅏㅈㅏㄶㅏㅛ	g a n eu NG h a j a n a y eo
ㄱㅏㄴㅡㅇㅎㅐ	g a n eu NG e
ㄱㅏㄴㅡㅇㅎㅐㅅㅓ	g a n eu NG h e s eo
ㄱㅏㄴㅡㅇㅎㅐㅆㄱㅔㅆㄷㅏ	g a n eu NG h e kk e tt a
ㄱㅏㄴㅡㅇㅎㅐㅈㅕㅑ	g a n eu NG h e j eu y a
ㄱㅏㄴㅡㅇㅎㅐㅈㅣㄱㅗ	g a n eu NG h e j i g u
ㄱㅏㄴㅡㅇㅎㅐㅛ	g a n eu NG e y eo
ㄱㅏㄴㅡㅇㅎㅐㅛ	g a n eu NG h e y eo
ㄱㅏㄴㅢ	g a N e
ㄱㅏㄴㅢ	g a n e
ㄱㅏㄴㅣㄲㅏ	g a i kk a
ㄱㅏㄴㅣㄲㅏ	g a n i kk a
ㄱㅏㄴㅣㄲㅏ	kk a n i kk a
ㄱㅏㄴㅣㄲㅏㄴ	g a n i kk a M
ㄱㅏㄴㅣㄲㅏㄴ	g a n i kk a N
ㄱㅏㄷㅎㅕ	g a ch eo
ㄱㅏㄷㅏ	g a d a
ㄱㅏㄷㅏㄱㅏ	g a d a g a
ㄱㅏㄷㅏㄴㅣ	g a d a n i
ㄱㅏㄷㅏㅣ	g a d a i
ㄱㅏㄷㅐㄱㅔ	g a d e g e
ㄱㅏㄷㅓㄴ	g a d eo N
ㄱㅏㄷㅓㄴㄱㅏ	g a d eo NG g a
ㄱㅏㄷㅓㄴㅈㅣ	g a N d eu N j i
ㄱㅏㄷㅓㄴㅣ	g a d eo n i
ㄱㅏㄷㅓㄹㅏㄱㅗ	g a d eu r a u
ㄱㅏㄷㅓㄹㅏㄱㅗㅛ	g a d eo r a g u y eo
ㄱㅏㄷㅓㄹㅏㄱㅗㅛ	g a d eu r a g u y eo
ㄱㅏㄷㅓㄹㅏㄷㅗ	g a d eo r a d o
ㄱㅏㄷㅓㄹㅏㄷㅗ	g a d eo r e d o
ㄱㅏㄷㅓㄹㅏㄹㅏㄴㅡㄴ	g a d eu r a r a n eu N
ㄱㅏㄷㅗ	g a d o
ㄱㅏㄷㅗ	g a d u
ㄱㅏㄷㅗ	g a u
ㄱㅏㄷㅗ	kk a d a
ㄱㅏㄷㅜㄴㄷㅏㄴㅡㄴ	g a d u N d a n eu M
ㄱㅏㄷㅜㄴㅡㄴ	g a d u n eu N
ㄱㅏㄷㅜㄹㅣ	g a d u r i
ㄱㅏㄷㅜㅍㅏㄴㅁㅐㄹㅡㄹ	g a d u p a M m e r eu L
ㄱㅏㄷㅝ	g a d eo
ㄱㅏㄷㅝ	g a d w eo
ㄱㅏㄷㅝㄴㅗㅎㄱㅗ	g a d w eo n o kk u
ㄱㅏㄷㅡ	g a d eu
ㄱㅏㄷㅡㄱ	g a d eu K
ㄱㅏㄷㅡㄱㅎㅏㄱㅗ	g a d eu k a g u
ㄱㅏㄷㅡㄴ	g a d eu NG
ㄱㅏㄷㅡㄴ	g a tt eu N
ㄱㅏㄷㅡㄴㄱㅏ	g a d eu NG g a
ㄱㅏㄷㅡㄴㅈㅣ	g a d eu N j i
ㄱㅏㄷㅡㄴㅍㅏㅌㅣㄹㅡㄹ	g a d eu M p a t i r eu L
ㄱㅏㄷㅡㄴㅍㅏㅣㅂㅡ	g a d eu M p a i b eu
ㄱㅏㄷㅣㄱㅓㄴㅡㄹ	g a d i g eo n eu L
ㄱㅏㄷㅣㄱㅓㄴㅣ	g a d i g eo n i
ㄱㅏㄷㅣㄱㅓㄴㅣㅓㅆㅓㅛ	g a d i g eo n i eo ss eo y eo
ㄱㅏㄸㅡㅣ	g a tt eu i
ㄱㅏㄹ	a L
ㄱㅏㄹ	a T
ㄱㅏㄹ	g a
ㄱㅏㄹ	g a L
ㄱㅏㄹ	kk a L
ㄱㅏㄹㄱㅔㅛ	g a L kk e y eo
